id,predicted_price
2591820310,363569.34
7974200820,956104.2
7701450110,1.0982445e+06
9522300010,1.9796238e+06
9510861140,717477.06
1761300310,262393.38
7732410120,800276.1
7010701383,670029.9
291310170,437092.6
4232901990,573621.4
6840701125,654431.9
3971700580,407358.7
4202400078,233351.12
6064800090,353008.44
2626119028,267044.53
3303980660,1.0458097e+06
862000020,923350.7
2386000070,932522.25
1138000450,381185.75
1775800420,461699.28
2291401425,450749.44
2025770560,887589.9
3525069037,666289.5
9324800450,567117.44
8080400136,544875.25
8651540040,526915.3
9407001790,242087.0
1773101530,193321.0
9432900250,347320.47
1794500695,635863.94
2220069003,331082.2
923000120,492448.5
5728000060,541210.2
16000200,234301.1
1926059094,408500.12
6672900220,966276.3
3629860060,910277.75
1822069109,445772.16
6675500105,384169.2
249000180,1.7832549e+06
226059065,480270.38
396100110,254832.14
9264450460,301737.56
7853361210,386818.38
9474700020,254272.81
421000455,268653.53
3755200220,399812.38
7960100075,505969.9
9477100490,433192.2
9138100350,825116.8
1624049275,458384.7
2770606890,495509.7
1157200189,424208.22
2770601800,544159.6
9301300805,534553.5
2325069032,1.1341542e+06
1021079099,352403.62
7215730040,752400.9
1853200080,467576.66
3224600340,687295.6
3222049120,391315.75
2113700025,309477.22
7893207925,206229.48
3586501085,603551.8
8024200010,354015.12
7116500705,180323.84
1598600209,302143.0
7204200025,773115.2
4206901505,571512.0
2937300440,889857.94
7205000180,340035.34
8718500665,361204.78
5318101765,927557.06
4122700020,1.03290725e+06
8078700020,516339.62
3303980680,893370.56
8924100372,1.2848724e+06
2781270210,209632.22
519000043,575009.25
3225069301,1.4273072e+06
151000075,755179.3
2297400020,419606.03
6617500085,675882.94
104510180,250746.66
3528900060,936729.3
3345100286,510025.34
1226039130,417307.0
8712100720,784311.0
3037200010,395166.1
3626039268,404015.56
104510230,239895.61
5112800060,407013.88
6072400280,627971.2
5317100570,1.1042919e+06
9528102993,527272.75
2919201095,507689.2
6181400920,265201.47
185000161,242035.3
8691400010,767413.4
3345700165,552438.56
6151800486,220765.97
4340000080,1.2782944e+06
4136960010,541103.3
3634100030,312089.56
1624059224,1.0744174e+06
2788400090,255094.75
9828200762,452794.22
7524400250,554316.8
3528000290,725415.4
5700003630,1.704119e+06
2720069019,308902.8
7227501170,238727.31
2397101270,637752.06
6792100090,737947.3
2770602265,561459.4
3971700937,291713.94
422049203,214544.8
3076500830,308679.88
1423400260,308020.88
9161100795,501086.28
3126049052,540436.0
5100401468,387480.38
514500235,421522.0
1423200170,195276.25
1402100070,394580.5
624110020,699150.4
2407000145,189265.14
1890000225,803683.44
